,start_station_name,num_of_trips
301,Sheridan Rd & Noyes St (NU),13175
419,Shields Ave & 28th Pl,5351
353,Shields Ave & 31st St,9065
678,Shields Ave & 43rd St,360
126,Shore Dr & 55th St,34197
430,Smith Park,4854
819,Smith Park (*),125
724,South Chicago Ave & 83rd St,258
868,South Chicago Ave & Elliot Ave,82
440,South Shore Dr & 67th St,4115
426,South Shore Dr & 71st St,5122
525,South Shore Dr & 74th St,1763
163,Southport Ave & Belmont Ave,28900
345,Southport Ave & Clark St,9513
196,Southport Ave & Clybourn Ave,24527
226,Southport Ave & Irving Park Rd,20590
50,Southport Ave & Roscoe St,51579
67,Southport Ave & Waveland Ave,48190
128,Southport Ave & Wellington Ave,33961
151,Southport Ave & Wrightwood Ave,30422
809,Spaulding Ave & 16th St,133
862,Spaulding Ave & 63rd St,88
330,Spaulding Ave & Armitage Ave,10341
1128,Spaulding Ave & Bryn Mawr Ave,8
402,Spaulding Ave & Division St,5967
959,Spaulding Ave & Evergreen Ave,35
1305,Spaulding Ave & Foster Ave,3
1037,Spaulding Ave & North Ave,16
864,Springfield Ave & 47th St,86
1102,Springfield Ave & 63rd St,9
799,St Louis Ave & 59th St,147
1178,St Louis Ave & Berteau Ave,6
820,St Louis Ave & Norman Bobbins Ave,125
15,St. Clair St & Erie St,73567
492,St. Louis Ave & Balmoral Ave,2523
407,St. Louis Ave & Fullerton Ave,5860
729,State St & 123rd St,256
360,State St & 19th St,8422
488,State St & 29th St,2613
177,State St & 33rd St,27515
325,State St & 35th St,10729
1339,State St & 47th st,2
610,State St & 54th St,599
763,State St & 76th St,190
557,State St & 79th St,1034
560,State St & 95th St,1012
244,State St & Chicago Ave,18580
214,State St & Harrison St,22517
61,State St & Kinzie St,49359
169,State St & Pearson St,28353
571,State St & Pershing Rd,897
52,State St & Randolph St,50991
207,State St & Van Buren St,23468
318,Stave St & Armitage Ave,11581
1004,Steelworkers Park,24
136,Stetson Ave & South Water St,33014
1357,Stewart Ave & 123rd St,2
692,Stewart Ave & 63rd St,332
1147,Stewart Ave & 63rd St (*),7
679,Stewart Ave & 83rd St,359
63,Stockton Dr & Wrightwood Ave,48985
1329,Stony Is Ave & 73rd St,3
541,Stony Island Ave & 64th St,1355
540,Stony Island Ave & 67th St,1364
551,Stony Island Ave & 71st St,1161
563,Stony Island Ave & 75th St,978
611,Stony Island Ave & 82nd St,584
1543,Stony Island Ave & 86th St,1
706,Stony Island Ave & 90th St,293
646,Stony Island Ave & South Chicago Ave,432
0,Streeter Dr & Grand Ave,186681
1196,Strohacker Park,5
735,Summit Ave & 86th St,246
1067,Talman Ave & 51st St - midblock,12
376,Talman Ave & Addison St,7756
5,Theater on the Lake,96479
443,Throop (Loomis) St & Taylor St,3909
730,Throop St & 52nd St,255
1253,Throop St & 58th St,4
270,Throop St & Taylor St,15755
1476,Throop/Hastings Mobile Station,1
1287,Torrence Ave  & 106th St,3
775,Torrence Ave & 106th St,176
827,Torrence Ave & 126th Pl,118
926,Tripp Ave & 15th St,47
854,Tripp Ave & 31st St,96
811,Tripp Ave & 65th St,131
1551,Troy & 111th St,1
986,Troy Ave & 27th St,30
408,Troy St & Elston Ave,5839
587,Troy St & Grace St,762
996,Troy St & Jackson Blvd,26
355,Troy St & North Ave,8883
1449,Trumbull Ave & 111th St,1
1516,Tuley (Murray) Park,1
536,Union Ave & Root St,1412
79,University Ave & 57th St,44847
374,University Library (NU),7761
480,Valli Produce - Evanston Plaza,2802
744,Vernon Ave & 107th St,222
632,Vernon Ave & 75th St,471
630,Vernon Ave & 79th St,480
753,Vincennes Ave & 104th St,203
747,Vincennes Ave & 75th St,211
1539,Vincennes Ave & 95th Pl,1
777,Virginia Ave & Catalpa Ave,174
773,W 103rd St & S Avers Ave,179
489,W Armitage Ave & N Sheffield Ave,2580
447,W Oakdale Ave & N Broadway,3764
573,W Washington Blvd & N Peoria St,895
478,WATSON TESTING - DIVVY,2819
863,WEST CHI-WATSON,87
189,Wabash Ave & 16th St,25346
721,Wabash Ave & 83rd St,264
568,Wabash Ave & 87th St,913
75,Wabash Ave & 9th St,45830
170,Wabash Ave & Adams St,28029
351,Wabash Ave & Cermak Rd,9115
11,Wabash Ave & Grand Ave,78963
27,Wabash Ave & Roosevelt Rd,63469
101,Wabash Ave & Wacker Pl,39856
204,Wacker Dr & Washington St,23761
645,Walden Pkwy & 100th St,432
979,Walden Pkwy & 103rd St,30
1115,Walden Pkwy & 99th St,9
1462,Wallace St & 112 St,1
411,Wallace St & 35th St,5745
1231,Waller Ave & Chicago Ave,5
235,Walsh Park,19526
472,Warren Park East,3066
456,Warren Park West,3428
1180,Washtenaw Ave & 63rd St,6
366,Washtenaw Ave & Lawrence Ave,8186
815,Washtenaw Ave & Madison St,128
476,Washtenaw Ave & Ogden Ave,2939
791,Washtenaw Ave & Peterson Ave,153
627,Washtenaw Ave & Polk St,489
814,Washtenaw Ave & Superior St,130
391,Wells St & 19th St,6763
3,Wells St & Concord Ln,100956
6,Wells St & Elm St,87237
26,Wells St & Evergreen Ave,63618
28,Wells St & Hubbard St,62996
14,Wells St & Huron St,76425
688,Wells St & Institute Pl,336
141,Wells St & Polk St,32140
180,Wells St & Walton St,26852
1557,Wentworth Ave & 103rd St,1
833,Wentworth Ave & 104th St,115
418,Wentworth Ave & 24th St (Temp),5362
396,Wentworth Ave & 33rd St,6434
438,Wentworth Ave & 35th St,4220
580,Wentworth Ave & 63rd St,827
215,Wentworth Ave & Cermak Rd,22417
594,Wentworth Ave & Cermak Rd (Temp),670
1254,WestChi,4
700,Western & 28th - Velasquez Institute Vaccination Site,305
1071,Western Ave & 100th St,12
681,Western Ave & 104th St,357
1354,Western Ave & 104th St - East,2
1272,Western Ave & 105th St,4
1324,Western Ave & 106th St - East,3
1370,Western Ave & 106th St - West,2
648,Western Ave & 111th St,428
1131,Western Ave & 111th St - NW,8
1249,Western Ave & 111th St - SE,4
1302,Western Ave & 111th St - SW,3
1309,Western Ave & 116th St,3
1255,Western Ave & 118th St,4
435,Western Ave & 21st St,4395
503,Western Ave & 24th St,2380
680,Western Ave & 28th St,358
935,Western Ave & 62nd St,42
1018,Western Ave & 79th St,20
1055,Western Ave & 92nd Pl,14
790,Western Ave & Ardmore Ave,157
643,Western Ave & Berteau Ave,436
354,Western Ave & Congress Pkwy,8902
285,Western Ave & Division St,14352
309,Western Ave & Fillmore St,12445
673,Western Ave & Fillmore St (*),365
576,Western Ave & Grace St,856
454,Western Ave & Granville Ave,3483
603,Western Ave & Gunnison St,628
497,Western Ave & Howard St,2466
929,Western Ave & Jarvis Ave,44
852,Western Ave & Lake St,99
249,Western Ave & Leland Ave,17805
434,Western Ave & Lunt Ave,4430
404,Western Ave & Monroe St,5949
365,Western Ave & Roscoe St,8206
231,Western Ave & Walton St,19819
193,Western Ave & Winnebago Ave,24882
567,Western Blvd & 48th Pl,922
896,Western Blvd & 49th St,63
925,Whipple St & Roosevelt Rd,48
659,Whipple/Irving Park,397
1573,William Rainey Harper High School,1
16,Wilton Ave & Belmont Ave,68874
70,Wilton Ave & Diversey Pkwy,47897
1034,Wilton Ave & Diversey Pkwy - Charging,17
493,Wilton Ave & Diversey Pkwy*,2513
427,Winchester (Ravenswood) Ave & Balmoral Ave,5079
1192,Winchester Ave & 87th St,5
347,Winchester Ave & Elston Ave,9482
261,Winthrop Ave & Lawrence Ave,16504
293,Wolcott (Ravenswood) Ave & Montrose Ave,13848
542,Wolcott Ave & Fargo Ave,1313
172,Wolcott Ave & Polk St,28004
1062,Wood St & 103rd St,13
512,Wood St & 35th St,2172
969,Wood St & 47th St,33
264,Wood St & Augusta Blvd,15946
260,Wood St & Chicago Ave,16539
598,Wood St & Chicago Ave (*),648
322,Wood St & Hubbard St,11259
105,Wood St & Milwaukee Ave,39288
441,Wood St & Taylor St,3995
288,Wood St & Taylor St (Temp),14231
559,Wood St & Webster Ave,1030
899,Woodlawn & 103rd - Olive Harvey Vaccination Site,60
243,Woodlawn Ave & 55th St,18674
766,Woodlawn Ave & 75th St,187
432,Woodlawn Ave & Lake Park Ave,4772
1477,Yale Ave & 119th St,1
592,Yates Blvd & 75th St,695
793,Yates Blvd & 93rd St,152
1217,Yates Blvd & Exchange Ave,5
1402,Zapata Academy,2
